cylindernumber,enginesize,horsepower,highwaympg,carwidth,curbweight,price
4,130,111,27,64.1,2548,13495.0
4,130,111,27,64.1,2548,16500.0
6,152,154,26,65.5,2823,16500.0
4,109,102,30,66.2,2337,13950.0
5,136,115,22,66.4,2824,17450.0
5,136,110,25,66.3,2507,15250.0
5,136,110,25,71.4,2844,17710.0
5,136,110,25,71.4,2954,18920.0
5,131,140,20,71.4,3086,23875.0
5,131,160,22,67.9,3053,17859.167
4,108,101,29,64.8,2395,16430.0
4,108,101,29,64.8,2395,16925.0
6,164,121,28,64.8,2710,20970.0
6,164,121,28,64.8,2765,21105.0
6,164,121,25,66.9,3055,24565.0
6,209,182,22,66.9,3230,30760.0
6,209,182,22,67.9,3380,41315.0
6,209,182,20,70.9,3505,36880.0
3,61,48,53,60.3,1488,5151.0
4,90,70,43,63.6,1874,6295.0
4,90,70,43,63.6,1909,6575.0
4,90,68,41,63.8,1876,5572.0
4,90,68,38,63.8,1876,6377.0
4,98,102,30,63.8,2128,7957.0
4,90,68,38,63.8,1967,6229.0
4,90,68,38,63.8,1989,6692.0
4,90,68,38,63.8,1989,7609.0
4,98,102,30,63.8,2191,8558.0
4,122,88,30,64.6,2535,8921.0
4,156,145,24,66.3,2811,12964.0
4,92,58,54,63.9,1713,6479.0
4,92,76,38,63.9,1819,6855.0
4,79,60,42,64.0,1837,5399.0
4,92,76,34,64.0,1940,6529.0
4,92,76,34,64.0,1956,7129.0
4,92,76,34,64.0,2010,7295.0
4,92,76,34,63.9,2024,7295.0
4,110,86,33,65.2,2236,7895.0
4,110,86,33,65.2,2289,9095.0
4,110,86,33,65.2,2304,8845.0
4,110,86,33,62.5,2372,10295.0
4,110,101,28,65.2,2465,12945.0
4,110,100,31,66.0,2293,10345.0
4,111,78,29,61.8,2337,6785.0
4,90,70,43,63.6,1874,8916.5
4,90,70,43,63.6,1909,8916.5
4,119,90,29,65.2,2734,11048.0
6,258,176,19,69.6,4066,32250.0
6,258,176,19,69.6,4066,35550.0
12,326,262,17,70.6,3950,36000.0
4,91,68,31,64.2,1890,5195.0
4,91,68,38,64.2,1900,6095.0
4,91,68,38,64.2,1905,6795.0
4,91,68,38,64.2,1945,6695.0
4,91,68,38,64.2,1950,7395.0
2,70,101,23,65.7,2380,10945.0
2,70,101,23,65.7,2380,11845.0
2,70,101,23,65.7,2385,13645.0
2,80,135,23,65.7,2500,15645.0
4,122,84,32,66.5,2385,8845.0
4,122,84,32,66.5,2410,8495.0
4,122,84,32,66.5,2385,10595.0
4,122,84,32,66.5,2410,10245.0
4,122,64,42,66.5,2443,10795.0
4,122,84,32,66.5,2425,11245.0
4,140,120,27,66.1,2670,18280.0
4,134,72,39,66.1,2700,18344.0
5,183,123,25,70.3,3515,25552.0
5,183,123,25,70.3,3750,28248.0
5,183,123,25,70.3,3495,28176.0
5,183,123,25,71.7,3770,31600.0
8,234,155,18,71.7,3740,34184.0
8,234,155,18,70.5,3685,35056.0
8,308,184,16,71.7,3900,40960.0
8,304,184,16,72.0,3715,45400.0
4,140,175,24,68.0,2910,16503.0
4,92,68,41,64.4,1918,5389.0
4,92,68,38,64.4,1944,6189.0
4,92,68,38,64.4,2004,6669.0
4,98,102,30,63.8,2145,7689.0
4,110,116,30,65.4,2370,9959.0
4,122,88,32,65.4,2328,8499.0
4,156,145,24,66.3,2833,12629.0
4,156,145,24,66.3,2921,14869.0
4,156,145,24,66.3,2926,14489.0
4,122,88,32,65.4,2365,6989.0
4,122,88,32,65.4,2405,8189.0
4,110,116,30,65.4,2403,9279.0
4,110,116,30,65.4,2403,9279.0
4,97,69,37,63.8,1889,5499.0
4,103,55,50,63.8,2017,7099.0
4,97,69,37,63.8,1918,6649.0
4,97,69,37,63.8,1938,6849.0
4,97,69,37,63.8,2024,7349.0
4,97,69,37,63.8,1951,7299.0
4,97,69,37,63.8,2028,7799.0
4,97,69,37,63.8,1971,7499.0
4,97,69,37,63.8,2037,7999.0
4,97,69,37,63.8,2008,8249.0
4,120,97,34,65.2,2324,8949.0
4,120,97,34,65.2,2302,9549.0
6,181,152,22,66.5,3095,13499.0
6,181,152,22,66.5,3296,14399.0
6,181,152,25,66.5,3060,13499.0
6,181,160,25,67.9,3071,17199.0
6,181,200,23,67.9,3139,19699.0
6,181,160,25,67.9,3139,18399.0
4,120,97,24,68.4,3020,11900.0
4,152,95,33,68.4,3197,13200.0
4,120,97,24,68.4,3230,12440.0
4,152,95,25,68.4,3430,13860.0
4,120,95,24,68.4,3075,15580.0
4,152,95,33,68.4,3252,16900.0
4,120,95,24,68.4,3285,16695.0
4,152,95,25,68.4,3485,17075.0
4,120,97,24,68.4,3075,16630.0
4,152,95,33,68.4,3252,17950.0
4,134,142,24,68.3,3130,18150.0
4,90,68,41,63.8,1918,5572.0
4,98,102,30,63.8,2128,7957.0
4,90,68,38,63.8,1967,6229.0
4,90,68,38,63.8,1989,6692.0
4,98,68,38,63.8,2191,7609.0
4,122,88,30,64.6,2535,8921.0
4,156,145,24,66.3,2818,12764.0
4,151,143,27,68.3,2778,22018.0
6,194,207,25,65.0,2756,32528.0
6,194,207,25,65.0,2756,34028.0
6,194,207,25,65.0,2800,37028.0
8,203,288,28,72.3,3366,31400.5
4,132,90,31,66.5,2579,9295.0
4,132,90,31,66.6,2460,9895.0
4,121,110,28,66.5,2658,11850.0
4,121,110,28,66.5,2695,12170.0
4,121,110,28,66.5,2707,15040.0
4,121,110,28,66.5,2758,15510.0
4,121,160,26,66.5,2808,18150.0
4,121,160,26,66.5,2847,18620.0
4,97,69,36,63.4,2050,5118.0
4,108,73,31,63.6,2120,7053.0
4,108,73,31,63.8,2240,7603.0
4,108,82,37,65.4,2145,7126.0
4,108,82,33,65.4,2190,7775.0
4,108,94,32,65.4,2340,9960.0
4,108,82,25,65.4,2385,9233.0
4,108,111,29,65.4,2510,11259.0
4,108,82,32,65.4,2290,7463.0
4,108,94,31,65.4,2455,10198.0
4,108,82,29,65.4,2420,8013.0
4,108,111,23,65.4,2650,11694.0
4,92,62,39,63.6,1985,5348.0
4,92,62,38,63.6,2040,6338.0
4,92,62,38,63.6,2015,6488.0
4,92,62,37,63.6,2280,6918.0
4,92,62,32,63.6,2290,7898.0
4,92,62,32,63.6,3110,8778.0
4,98,70,37,64.4,2081,6938.0
4,98,70,37,64.4,2109,7198.0
4,110,56,36,64.4,2275,7898.0
4,110,56,47,64.4,2275,7788.0
4,98,70,47,64.4,2094,7738.0
4,98,70,34,64.4,2122,8358.0
4,98,70,34,64.4,2140,9258.0
4,98,70,34,64.0,2169,8058.0
4,98,70,34,64.0,2204,8238.0
4,98,112,29,64.0,2265,9298.0
4,98,112,29,64.0,2300,9538.0
4,146,116,30,65.6,2540,8449.0
4,146,116,30,65.6,2536,9639.0
4,146,116,30,65.6,2551,9989.0
4,146,116,30,65.6,2679,11199.0
4,146,116,30,65.6,2714,11549.0
4,146,116,30,65.6,2975,17669.0
4,122,92,34,66.5,2326,8948.0
4,110,73,33,66.5,2480,10698.0
4,122,92,32,66.5,2414,9988.0
4,122,92,32,66.5,2414,10898.0
4,122,92,32,66.5,2458,11248.0
6,171,161,24,67.7,2976,16558.0
6,171,161,24,67.7,3016,15998.0
6,171,156,24,66.5,3131,15690.0
6,161,156,24,66.5,3151,15750.0
4,97,52,46,65.5,2261,7775.0
4,109,85,34,65.5,2209,7975.0
4,97,52,46,65.5,2264,7995.0
4,109,85,34,65.5,2212,8195.0
4,109,85,34,65.5,2275,8495.0
4,97,68,42,65.5,2319,9495.0
4,109,100,32,65.5,2300,9995.0
4,109,90,29,64.2,2254,11595.0
4,109,90,29,64.0,2221,9980.0
5,136,110,24,66.9,2661,13295.0
4,97,68,38,66.9,2579,13845.0
4,109,88,31,66.9,2563,12290.0
4,141,114,28,67.2,2912,12940.0
4,141,114,28,67.2,3034,13415.0
4,141,114,28,67.2,2935,15985.0
4,141,114,28,67.2,3042,16515.0
4,130,162,22,67.2,3045,18420.0
4,130,162,22,67.2,3157,18950.0
4,141,114,28,68.9,2952,16845.0
4,141,160,25,68.8,3049,19045.0
6,173,134,23,68.9,3012,21485.0
6,145,106,27,68.9,3217,22470.0
4,141,114,25,68.9,3062,22625.0
